LH29,        -,        -,        -,        -,        -,        -,        -,no period
LH30,        -,       -,      -,       -,        -,no period,no period,no period
LH31,        - ,        -,       -,       -,        -,no period,no period,no period
LH34,       -,        -,       -,       -,       -,        -,        -,       -
201,       -,        -,        -,        -,        -,        -,no period,no period
202,       -,       -,no period,       -,       -,       -,       -,no period
301,      -,no period,      -,       -,        -,        -,no period,no period
302,        -,        -,       -,       -,no period,no period,       -,no period
303,      -,       -,      -,       -,      -,no period,no period,no period
401,      -,      -,      -,      -,      -,      -,      -,      -
